title,description,release_year,genres_list,rating,votes,directors,actors,runtime_minutes
Cruella,"Set in 1970s London amidst the punk rock revolution, Cruella follows a young grifter named Estella (Emma Stone), a clever and creative girl determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman (Emma Thompson), a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella.",2021.0,"['Adventure', 'Comedy', 'Crime', 'Drama']",7.1,570,Craig Gillespie,"['Emma Stone', 'Emma Thompson', 'Joel Fry', 'Paul Walter Hauser', 'John McCrea']",134 minutes
Wimbledon,A sweet and funny tale of romance across the net between an unlucky wild card player (Bettany) and an American star (Dunst) at Wimbledon.  (Universal),2004.0,"['Comedy', 'Romance', 'Sport']",7.8,75,Richard Loncraine,"['Kirsten Dunst', 'Paul Bettany', 'Sam Neill', 'Jon Favreau', 'Bernard Hill']",98 minutes
OSS 117 - Lost in Rio,"Twelve years after Cairo, OSS 117 is back on a new mission at the other end of the world. As he tracks down a microfilm that is compromising for the French State, France’s most famous secret agent will have to team up with the Mossad’s most seductive lieutenant-colonel in order to capture a Nazi blackmailer. From Rio´s sunny beaches to luxuriant Amazonian forests, from the depths of secret grottos to the top of Corcovado’s Christ, a new adventure is about to begin. Whatever the danger, whatever the stakes, you can always count on Hubert Bonisseur de la Bath to find a way out. (Music Box Films)",2010.0,"['Action', 'Adventure', 'Comedy']",7.6,24,Michel Hazanavicius,"['Jean Dujardin', 'Louise Monot', 'Alex Lutz', 'Reem Kherici', 'Rüdiger Vogler']",101 minutes
Back to Burgundy,"Jean (Pio Marmai) left his native Burgundy and the family wine business a decade ago to travel around the world. The black sheep of the family, he unexpectedly returns home to reconnect with his ailing father. When Jean’s father dies, his sister Juliette (Ana Girardot) takes over the reins of the “domaine” together with their younger brother, Jérémie (François Civil), who has recently married into one of the region’s more prestigious wine families. As the business is transferred to the children, a prohibitive inheritance tax must be dealt with. As four seasons and two harvests unfold, emotional and work-related conflicts erupt which will force the siblings to reinvent their relationships and their own life choices if they are to survive as a family and a business.",2018.0,"['Comedy', 'Drama']",7.4,5,Cédric Klapisch,"['Pio Marmaï', 'Ana Girardot', 'François Civil', 'Jean-Marc Roulot', 'María Valverde']",113 minutes
Free Men,"1942, in German-occupied Paris. Younes, a young unemployed Algerian, earns his living as a black marketeer. Arrested by the French police but given a chance to avoid jail, Younes agrees to spy on the Paris Mosque. The police suspects the Mosque authorities, among which its rector Ben Ghabrit, of aiding Muslim Resistance agents, as well as helping North African Jews, by giving them false certificates. At the Mosque, Younes meets the Algerian singer Salim Halali, and is moved by Salim’s beautiful voice and strong personality. A deep friendship develops, and soon after Younes discovers that Salim is Jewish. In spite of the risks it entails, Younes stops collaborating with the police, and gradually develops from being a politically ignorant immigrant worker into a fully-fledged freedom fighter. (Film Movement)",2012.0,"['Drama', 'History', 'Romance', 'War']",8.0,5,Ismaël Ferroukhi,"['Tahar Rahim', 'Michael Lonsdale', 'Lubna Azabal', 'Mahmoud Shalaby', 'Christopher Buchholz']",99 minutes
God Help the Girl,"While in the hospital dealing with some emotional problems, Eve (Emily Browning) starts writing songs as a way of getting better.  These leads her out of the hospital and to Glasgow, Scotland where she meets  James and Cassie, two musicians at a crossroads of their own.  What follows is a story of renaissance over the course of a long, dream-like summer.",2014.0,"['Drama', 'Music', 'Romance']",7.1,27,Stuart Murdoch,"['Emily Browning', 'Olly Alexander', 'Hannah Murray', 'Pierre Boulanger', 'Cora Bissett']",111 minutes
The Fast and the Furious,A fierce and frenzied look at rival Los Angeles street teams who use street racing as a means of establishing power.  [Universal Pictures],2001.0,"['Action', 'Crime', 'Thriller']",7.5,497,Rob Cohen,"['Paul Walker', 'Vin Diesel', 'Michelle Rodriguez', 'Jordana Brewster', 'Rick Yune']",106 minutes
Norwegian Wood,"Tokyo, the late 1960s... Students around the world are uniting to overthrow the establishment and Toru Watanabe's personal life is similarly in tumult. At heart, he is deeply devoted to his first love, Naoko, a beautiful and introspective young woman. But their complex bond has been forged by the tragic death of their best friend years before. Watanabe lives with the influence of death everywhere. That is, until Midori, a girl who is everything that Naoko is not - outgoing, vivacious, supremely self-confident - marches into his life and Watanabe must choose between his past and his future. (Red Flag Releasing)",2012.0,"['Drama', 'Romance']",7.2,14,Anh Hung Tran,"['Kenichi Matsuyama', 'Rinko Kikuchi', 'Kiko Mizuhara', 'Reika Kirishima', 'Eriko Hatsune']",133 minutes
To the Wonder,"After visiting Mont Saint-Michel, Marina and Neil come to Oklahoma, where problems arise. Marina meets a priest and fellow exile, who is struggling with his vocation, while Neil renews his ties with a childhood friend, Jane.",2013.0,"['Drama', 'Romance']",7.7,149,Terrence Malick,"['Ben Affleck', 'Olga Kurylenko', 'Rachel McAdams', 'Javier Bardem', 'Tatiana Chiline']",112 minutes
Hitch,"In this sophisticated romantic comedy, Alex ""Hitch"" Hitchens (Smith) is a legendary - and deliberately anonymous - New York City ""date doctor"" who, for a fee, has helped countless men woo the women of their dreams.  While coaching Albert (James), a meek accountant who is smitten with a glamorous celebrity (Valletta), Hitch finally meets his match in the person of the gorgeous, whip-smart Sara (Mendes), a gossip columnist who is on to him.  (Sony)",2005.0,"['Comedy', 'Romance']",8.1,234,Andy Tennant,"['Will Smith', 'Eva Mendes', 'Kevin James', 'Amber Valletta', 'Julie Ann Emery']",118 minutes
"The Prize Winner of Defiance, Ohio","Based on a true story, this film features Julianne Moore as a 1950's mother who defies the conventions of the day and finds a way to keep her family together by applying her remarkable resourcefulness and uncommon wit.  (Go Fish Pictures)",2005.0,"['Biography', 'Drama']",7.2,12,Jane Anderson,"['Julianne Moore', 'Woody Harrelson', 'Laura Dern', 'Trevor Morgan', 'Ellary Porterfield']",99 minutes
